SingleLethal,Counts in Normal,Counts in Cancer,Not SL in Normal,Not SL in Cancer
PYRtm,2,4,27,17
QUILSYN,2,0,27,21
R5Ptr,20,14,9,7
RNAsyn,29,21,0,0
RNDR1,15,15,14,6
RNDR2,26,19,3,2
RNDR3,29,21,0,0
RNDR4,25,5,4,16
RNMK,29,15,0,6
RPE,10,7,19,14
RPIr,20,14,9,7
RTOT1,29,19,0,2
RTOT3,6,7,23,14
RTOT4,12,7,17,14
RTOT5,0,1,29,20
RU5Ptr,4,7,25,14
SBTD_D2,0,1,29,20
SBTR,1,1,28,20
SBT_Dtde,1,0,28,21
SERALANaEx,0,2,29,19
SERPT,29,21,0,0
SERTRS,29,21,0,0
SERTm,0,1,29,20
SERt4,26,3,3,18
SMOX,0,1,29,20
SMS,29,21,0,0
SPMDOX,0,3,29,18
SPMDSH,2,0,27,21
SPMS,2,5,27,16
SPODMm,0,4,29,17
SPRMS,0,3,29,18
SQLEr,29,21,0,0
SQLSr,29,21,0,0
SSALym,3,3,26,18
SUCCICITtm,1,0,28,21
SUCOAS1m,16,3,13,18
TALA,9,7,20,14
TECR180,21,15,8,6
TECR200,0,1,29,20
TECR201,1,0,28,21
TECR220,0,1,29,20
TECR221,1,0,28,21
TECR240,0,1,29,20
TECR241,1,0,28,21
TECR260,0,1,29,20
THFtm,1,0,28,21
THR3Dx,1,0,28,21
THRA,1,1,28,20
THRALANaEx,0,2,29,19
THRD_L,9,5,20,16
THRTRS,29,21,0,0
THRt4,24,9,5,12
THYMtm,0,1,29,20
TKT1,9,7,20,14
TKT2,9,7,20,14
TMDPP,0,1,29,20
TMDS,29,21,0,0
TPI,8,10,21,11
TRDR,2,4,27,17
TRPO2,2,0,27,21
TRPTRS,29,21,0,0
TRPt,0,1,29,20
TRPt4,29,20,0,1
TTDCAFATPc,0,5,29,16
TTDCAtr,0,5,29,16
TYRTRS,29,21,0,0
TYRt4,10,14,19,7
UAGDP,2,0,27,21
UDPG4E,1,0,28,21
UDPGALt2r,1,0,28,21
UDPGALtg,1,0,28,21
UDPGCURtr,0,1,29,20
UDPGD,0,1,29,20
UDPGGPGTr,1,0,28,21
UGCGc,1,0,28,21
UGT1A2r,0,1,29,20
UMPK,1,0,28,21
UMPK4,12,2,17,19
UMPK5,8,5,21,16
UMPtr,1,1,28,20
UNK2,1,0,28,21
UNK3,1,7,28,14
UPP3S,0,1,29,20
UPPDC1,0,1,29,20
UREAt,0,1,29,20
UREAt5,0,3,29,18
UREAtm,0,4,29,17
URIK4,0,1,29,20
Uritn,0,2,29,19
VALTRS,29,21,0,0
VALt4,24,21,5,0
XYLK,1,0,28,21
XYLTD_Dr,1,0,28,21
XYLURx,1,0,28,21
biomass_reaction,29,21,0,0
