Reaction,log_fc,p_value,adj_p_val,Fluxes
ACGAGBSIDEtg,0.0,1.0,1.0,Unchanged
ACGAGBSIDEtl,0.0,1.0,1.0,Unchanged
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,0.0,1.0,1.0,Unchanged
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg,0.0,1.0,1.0,Unchanged
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,0.0,1.0,1.0,Unchanged
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,0.0,1.0,1.0,Unchanged
ACGAM2E,-2.676552831484924,0.040030049786931206,0.4481982248281887,Unchanged
ACGAM6PSi,2.0411443446519466,0.058980576140698106,0.6030676661013392,Unchanged
ACGAMK,4.01317047926907,0.9917669449474061,1.0,Unchanged
ACGAMPM,2.8481244756909496,0.11920079944009268,1.0,Unchanged
ACGAMtl,0.0,1.0,1.0,Unchanged
ACGAMtly,3.9068607470999464,0.6131230293263685,1.0,Unchanged
ACGAMtr,0.0,1.0,1.0,Unchanged
ACGLUte,0.0,1.0,1.0,Unchanged
ACGLUtm,0.0,1.0,1.0,Unchanged
ACGLYtc,0.0,1.0,1.0,Unchanged
ACGLYte,0.0,1.0,1.0,Unchanged
ACGSm,0.0,1.0,1.0,Unchanged
ACHEe,0.0,1.0,1.0,Unchanged
ACHtn,-0.001765140579273525,0.43898457411031366,1.0,Unchanged
ACHVESSEC,0.00013982413252023554,0.47646704794698846,1.0,Unchanged
ACILEm,0.0,1.0,1.0,Unchanged
ACILEte,0.0,1.0,1.0,Unchanged
ACILEtm,0.0,1.0,1.0,Unchanged
ACITL,0.015321549406141898,0.2353615410718306,1.0,Unchanged
