"entrezgene_id"	"V2"
55679	24252.5877943
55515	0
10290	7425.71498347
84708	152722.719311
224	1048645.9777
7037	95357.8184782
6720	599277.211365
7224	12233.9025185
27125	446123.290204
7321	111287.7749
64398	210935.665826
9886	29811.902342
8243	195987.871242
3028	732072.953375
2011	264428.960964
3161	7082.46646895
55743	19158.6776147
29953	145.798054507
8974	378772.839187
2213	9579.93004655
4775	45736.8408687
51095	79094.3876796
37	1368044.27342
6793	48050.5153821
23291	333909.656819
9744	23438.6597508
1400	43983.5398334
2121	150756.065433
51009	122954.989448
54847	3206.44170536
54820	40022.6753018
10335	19647.8657459
79041	21549.0818388
8907	64174.4105296
5817	166026.377936
7515	392463.648579
949	74123.8991666
54905	104.71731887
4171	196608.517876
54456	422.556934265
56666	75918.4695548
83642	168723.353761
8626	2765.90553946
80216	48463.6084861
3993	238318.862542
5151	61787.9188601
1183	93543.0138269
54475	82654.7043251
6389	226194.530327
6605	129251.478893
54752	836.83321391
55876	20407.8182844
5927	139673.657046
4185	1217.53092338
5523	67028.1300926
10979	159897.291752
8647	56.3737381531
10170	8208.10647308
922	118.233357177
5743	27776.0651194
10644	371025.513753
9175	89854.1293778
6480	126008.463367
30009	3665.86730394
NA	6506.18087183
10129	14226.3460441
8301	668528.738329
4905	224008.296604
2736	1725.19167026
23332	157013.898331
65993	773467.318061
4854	261757.224656
1207	379354.610243
5522	284.130259517
8463	95884.2373232
8726	48424.4464817
54825	542.971438345
6620	289.512587464
7251	431600.599256
55421	75801.3509391
489	61800.2481804
771	44750.3798893
11343	135848.465435
59277	68657.0831369
617	83874.5126432
9891	35220.3134194
54878	131782.012957
9187	51465.6111421
55205	258283.939516
8578	67605.361749
3998	953404.439233
51495	742094.190255
26034	9903.25055352
23140	97128.9933291
50508	0
2023	3892926.54542
6557	0
56005	862663.831499
57719	53363.8741881
51175	31232.7325283
55160	168946.316686
7294	4599.9314192
9671	531.428016276
3785	0
6865	3034.28553006
64431	149950.284703
54962	39314.7585153
6717	320741.955644
8672	358664.068206
